#this file contains all the header lines of the file dmel-all-gene-r4.3.fasta
>FBgn0052100 type=gene; loc=3L:12241499..12243147; ID=FBgn0052100; name=CG32100; 
>FBgn0032195 type=gene; loc=2L:10222658..10224442; ID=FBgn0032195; name=CG4908; 
>FBgn0034863 type=gene; loc=2R:complement(18965663..18966359); ID=FBgn0034863; name=skpF; 
>FBgn0017558 type=gene; loc=2R:4938255..4945207; ID=FBgn0017558; name=Pdk; 
>FBgn0038194 type=gene; loc=3R:9854952..9857206; ID=FBgn0038194; name=Cyp6d5; 
>FBgn0028917 type=gene; loc=2L:complement(14345935..14346654); ID=FBgn0028917; name=CG18125; 
>FBgn0000150 type=gene; loc=3R:complement(27570894..27571755); ID=FBgn0000150; name=awd; 
>FBgn0034878 type=gene; loc=2R:complement(19056565..19062318); ID=FBgn0034878; name=pita; 
>FBgn0039066 type=gene; loc=3R:19077266..19080804; ID=FBgn0039066; name=EloA; 
>FBgn0032345 type=gene; loc=2L:complement(11120641..11121683); ID=FBgn0032345; name=CG14921; 
>FBgn0004598 type=gene; loc=X:16207025..16215720; ID=FBgn0004598; name=Fur2; 
>FBgn0082170 type=gene; loc=3R:12682003..12682024; ID=FBgn0082170; name=mir-iab-4-5p; 
>FBgn0011954 type=gene; loc=X:21042767..21042839; ID=FBgn0011954; name=tRNA:R:19F; 
>FBgn0004926 type=gene; loc=3L:complement(12499038..12500684); ID=FBgn0004926; name=eIF-2beta; 
>FBgn0053276 type=gene; loc=3L:complement(7613838..7614448); ID=FBgn0053276; name=CG33276; 
>FBgn0032658 type=gene; loc=2L:17982457..17984147; ID=FBgn0032658; name=CG5681; 
>FBgn0011961 type=gene; loc=3R:complement(3966198..3966270); ID=FBgn0011961; name=tRNA:R2:84Fc; 
>FBgn0034742 type=gene; loc=2R:complement(18108378..18113217); ID=FBgn0034742; name=CG4294; 
>FBgn0039518 type=gene; loc=3R:23289911..23292725; ID=FBgn0039518; name=CG13978; 
>FBgn0045073 type=gene; loc=X:complement(15768837..15774372); ID=FBgn0045073; name=Stim; 
>FBgn0015657 type=gene; loc=3L:complement(5723969..5726177); ID=FBgn0015657; name=DnaJ-1; 
>FBgn0038819 type=gene; loc=3R:16495293..16498538; ID=FBgn0038819; name=CG5494; 
>FBgn0033141 type=gene; loc=2R:complement(2584974..2585976); ID=FBgn0033141; name=CG12831; 
>FBgn0039503 type=gene; loc=3R:complement(23090049..23091152); ID=FBgn0039503; name=CG14262; 
>FBgn0038420 type=gene; loc=3R:complement(12176627..12182733); ID=FBgn0038420; name=CG10311; 
>FBgn0050487 type=gene; loc=2R:complement(8453573..8454250); ID=FBgn0050487; name=CG30487; 
>FBgn0030437 type=gene; loc=X:complement(12785241..12788476); ID=FBgn0030437; name=CG4395; 
>FBgn0034035 type=gene; loc=2R:complement(11192079..11193802); ID=FBgn0034035; name=CG8207; 
>FBgn0040227 type=gene; loc=3R:19505767..19508049; ID=FBgn0040227; name=eIF-3p66; 
>FBgn0011855 type=gene; loc=3L:1385313..1385384; ID=FBgn0011855; name=tRNA:E4:62Ae; 
>FBgn0011273 type=gene; loc=3R:21638261..21638924; ID=FBgn0011273; name=And; 
>FBgn0033322 type=gene; loc=2R:complement(4212505..4213607); ID=FBgn0033322; name=CG8584; 
>FBgn0001084 type=gene; loc=2L:complement(8401446..8403442); ID=FBgn0001084; name=fy; 
>FBgn0038854 type=gene; loc=3R:complement(16923892..16927436); ID=FBgn0038854; name=CG7044; 
>FBgn0034105 type=gene; loc=2R:complement(11796490..11797809); ID=FBgn0034105; name=CG7755; 
>FBgn0033428 type=gene; loc=2R:5096480..5097931; ID=FBgn0033428; name=Updo; 
>FBgn0003310 type=gene; loc=2L:complement(1050877..1077811); ID=FBgn0003310; name=S; 
>FBgn0032520 type=gene; loc=2L:complement(13396389..13398664); ID=FBgn0032520; name=CG10859; 
>FBgn0033229 type=gene; loc=2R:3343980..3345662; ID=FBgn0033229; name=CG12822; 
>FBgn0026178 type=gene; loc=3R:22362068..22421912; ID=FBgn0026178; name=scrib; 
>FBgn0042112 type=gene; loc=3L:complement(8098531..8099060); ID=FBgn0042112; name=mRpL36; 
>FBgn0010431 type=gene; loc=3L:8386962..8388050; ID=FBgn0010431; name=mtrm; 
>FBgn0010355 type=gene; loc=3R:2472611..2481775; ID=FBgn0010355; name=Taf1; 
